Model,AUC (Business),AUC (Sci/Tech),AUC (Sports),AUC (World),Macro AUC
Naive Bayes,0.9712510618651893,0.9780693444136657,0.9952141274238228,0.9702518928901199,0.9786966066481994
SVM,0.9746369344413667,0.9798375807940904,0.9954027700831025,0.9800902123730378,0.9824918744228994
Random Forest,0.9644212834718375,0.968605216989843,0.9915846722068329,0.9757464912280702,0.9750894159741459
KNN,0.9558770083102494,0.9651460757156047,0.9908212373037858,0.9635403508771929,0.9688461680517082
Logistic Regression,0.9728707294552169,0.978458541089566,0.9951989843028626,0.978162326869806,0.9811726454293629
Decision Tree,0.8155723915050784,0.794695567867036,0.8837574330563251,0.840982132963989,0.8337518813481072
XGBoost,0.9550192059095105,0.9616509695290858,0.9897590489381347,0.9684799168975069,0.9687272853185596
Transformer,0.9827548476454294,0.9852874884579872,0.9983116343490305,0.9883108956602031,0.9886662165281626
