Model,Accuracy,F1 (Macro),F1 (Weighted),Precision,Recall,Train Time (s)
Transformer,0.9377551020408164,0.9377691040600394,0.9377691040600394,0.9382450599287334,0.9377551020408164,1157.9411668777466
SVM,0.9193877551020408,0.919044054509883,0.9190440545098828,0.9193615720175412,0.919387755102041,0.222862958908081
Naive Bayes,0.8989795918367347,0.8987545429798259,0.8987545429798259,0.9014753748939548,0.8989795918367347,0.007103681564331
Logistic Regression,0.8877551020408163,0.8873474728889309,0.8873474728889309,0.8894466946218716,0.8877551020408163,0.705725908279419
KNN,0.8846938775510204,0.8844531745564365,0.8844531745564364,0.884487140926778,0.8846938775510205,0.002918004989624
Random Forest,0.8418367346938775,0.8431111066917701,0.8431111066917701,0.8471584948002969,0.8418367346938777,0.2679109573364258
XGBoost,0.8336734693877551,0.8342988162399817,0.8342988162399818,0.8363220294425363,0.8336734693877552,27.11813306808472
Decision Tree,0.4693877551020408,0.491343774962384,0.491343774962384,0.6591785827326334,0.4693877551020408,0.6290650367736816
