Model,AUC (dunya),AUC (ekonomi),AUC (kultur),AUC (saglik),AUC (siyaset),AUC (spor),AUC (teknoloji),Macro AUC
Naive Bayes,0.9890561224489796,0.9852721088435373,0.9954251700680272,0.998078231292517,0.992482993197279,0.9998469387755102,0.9881972789115646,0.9926226919339165
SVM,0.990093537414966,0.9853486394557823,0.9960714285714285,0.998375850340136,0.9912329931972789,0.9998979591836734,0.990297619047619,0.9930454324586978
Random Forest,0.964795918367347,0.9618027210884355,0.9843197278911565,0.9916156462585034,0.9766581632653062,0.993469387755102,0.9722363945578231,0.9778425655976678
KNN,0.9314710884353742,0.9477125850340135,0.9686649659863945,0.9839370748299321,0.9729676870748301,0.9997108843537414,0.9738010204081634,0.9683236151603499
Logistic Regression,0.9805952380952381,0.9742857142857143,0.992015306122449,0.9958843537414966,0.9884863945578232,0.9995238095238095,0.9874404761904763,0.9883187560738581
Decision Tree,0.7457993197278912,0.7490263605442176,0.8177380952380953,0.8223809523809523,0.7811437074829933,0.8334523809523811,0.7345238095238096,0.7834378036929058
XGBoost,0.963248299319728,0.9654846938775511,0.9822789115646258,0.9883163265306122,0.9743877551020409,0.9945833333333334,0.9668877551020407,0.976455296404276
Transformer,0.9886267006802721,0.9869727891156462,0.998171768707483,0.9959948979591837,0.9882695578231293,0.9994302721088436,0.9971173469387754,0.9935119047619047
