Model,AUC (negatif),AUC (notr),AUC (pozitif),Macro AUC
Naive Bayes,0.9348865231885445,0.9951768500086142,0.9710865441132503,0.967049972436803
SVM,0.9519977565501698,0.9950810535721182,0.9772731522398999,0.9747839874540626
Random Forest,0.9306737112630882,0.9910989768958217,0.9656134366775023,0.9624620416121373
KNN,0.8386980261681812,0.9806151083456376,0.9457064919495078,0.9216732088211089
Logistic Regression,0.952316199946539,0.9938108360273602,0.9745047607125734,0.9735439322288242
Decision Tree,0.7332937011349682,0.8890645303840904,0.8621136943757681,0.8281573086316089
XGBoost,0.8817105260718089,0.9620615692911099,0.933274626570744,0.9256822406445543
Transformer,0.9817727020717558,0.9994858821710003,0.9914862259402368,0.9909149367276644
