Model,Accuracy,F1 (Macro),F1 (Weighted),Precision,Recall,Train Time (s)
Transformer,0.9574,0.9298155262318564,0.9569935434399814,0.9357508428886452,0.9243327693935328,1948.7350060939789
SVM,0.9223,0.8767878605769232,0.9195362545072115,0.9047145530560972,0.8578750446100156,2.5025577545166016
Naive Bayes,0.9062,0.8487807661568271,0.902478089534246,0.8842323783919671,0.8257095067506071,0.0565800666809082
Logistic Regression,0.9048,0.8386520600983584,0.8979002019875719,0.9013753134668198,0.8115090696776956,0.3101258277893066
Random Forest,0.8863,0.7892997128605587,0.8734917276499711,0.8815883041820882,0.7614561029186081,14.962844133377075
KNN,0.8622,0.7757420552939224,0.8524135305717071,0.8367187707012418,0.7562153141992806,0.0416376590728759
XGBoost,0.8369,0.7554104285695088,0.8278581745281648,0.8282925495793357,0.7398397463235757,48.89514970779419
Decision Tree,0.7935,0.7063437627170802,0.785811827724549,0.7460122450232274,0.705178787261502,1.471825361251831
