Model,Accuracy,F1 (Macro),F1 (Weighted),Precision,Recall,Train Time (s)
Transformer,0.9072,0.9071965693912628,0.9071965693912628,0.9072602197767534,0.9072,1018.1970553398132
SVM,0.89536,0.8953474289657233,0.8953474289657233,0.8955500564226303,0.8953599999999999,0.4030168056488037
Logistic Regression,0.89376,0.8937569476796041,0.893756947679604,0.8938052554698701,0.89376,1.4418280124664309
Naive Bayes,0.8638,0.8637544724124943,0.8637544724124944,0.8642869181348194,0.8638,0.029961347579956
Random Forest,0.86136,0.8613523253520766,0.8613523253520767,0.8614400280269415,0.86136,6.92468786239624
XGBoost,0.8572,0.8571252058453589,0.857125205845359,0.8579495383151623,0.8572,70.18149948120117
Decision Tree,0.73412,0.7325769901994146,0.7325769901994146,0.739651071577431,0.73412,7.482165813446045
KNN,0.72948,0.7294592393513256,0.7294592393513256,0.729550460605703,0.72948,0.0168972015380859
