Model,Accuracy,F1 (Macro),F1 (Weighted),Precision,Recall,Train Time (s)
Transformer,0.928157894736842,0.9281124347216616,0.9281124347216616,0.9281450376614672,0.928157894736842,951.2029314041138
SVM,0.915,0.9147529902613428,0.9147529902613428,0.914758958481884,0.915,2.620420217514038
Logistic Regression,0.9093421052631578,0.909034050631742,0.909034050631742,0.908980512214713,0.9093421052631578,0.431659460067749
Naive Bayes,0.9039473684210526,0.9036202386457368,0.9036202386457368,0.9037631129031822,0.9039473684210528,0.0504722595214843
KNN,0.891578947368421,0.8914306253816053,0.8914306253816053,0.8914575354537271,0.891578947368421,0.0311305522918701
Random Forest,0.8802631578947369,0.8795900157787655,0.8795900157787654,0.8797373721557198,0.8802631578947369,13.684007167816162
XGBoost,0.8728947368421053,0.872736290134524,0.872736290134524,0.8730465007184544,0.8728947368421053,149.62478184700012
Decision Tree,0.5977631578947369,0.6108197330047547,0.6108197330047547,0.7124040081510767,0.5977631578947369,2.97204065322876
